id,code,name,description,type,min_value,max_value,marks/code,marks/name,marks/value
irsid_edu.scale_u0,У0,Прослушано,Уровни оценки не предусмотрены,Discrete Scale,1.0,1.0,Просл.,Прослушано,1.0
irsid_edu.scale_u1,У1,Контроль посещаемости,"Применяется для видов работ, предусматривающих только контроль посещаемости",Discrete Scale,0.0,1.0,Присутств.,Присутствовал,1.0
irsid_edu.scale_u2,У2,Двухуровневая шкала оценки,Шкала оценки Зачтено|Не зачтено,Discrete Scale,0.0,1.0,Не зачт.,Не зачтено,0.0
,,,,,,,Неяв.,Неявка,0.0
,,,,,,,Зачт.,Зачтено,1.0
irsid_edu.scale_u5,У5,Пятиуровневая шкала оценки,Шкала оценки Отлично|Хорошо|Удовлетворительно|Неудовлетворительно|Плохо             ,Discrete Scale,0.0,1.0,Неяв.,Неявка,0.0
,,,,,,,Плохо,Плохо,0.0
,,,,,,,Неуд.,Неудовлетворительно,0.25
,,,,,,,Удовл.,Удовлетворительно,0.5
,,,,,,,Хор.,Хорошо,0.75
,,,,,,,Отл.,Отлично,1.0
irsid_edu.scale_u10,У10,Десятиуровневая шкала оценки,"Десятиуровневая шкала, позволяющая более точно оценить обучающегося",Discrete Scale,0.0,1.0,Неяв.,Неявка,0.0
,,,,,,,F,Плохо,0.0
,,,,,,,E,Крайне посредственно,0.2
,,,,,,,D,Посредственно,0.3
,,,,,,,C-,Ниже среднего,0.4
,,,,,,,C,Средне,0.5
,,,,,,,C+,Выше среднего,0.6
,,,,,,,B,Хорошо,0.7
,,,,,,,B+,Очень хорошо,0.8
,,,,,,,A,Отлично,0.9
,,,,,,,A+,Превосходно,1.0
